headline,link,date_str,parsed_date_iso,sentiment_score
"Adani, Ambanis, Birla, Mittal fund Rs 50 crore health insurance for Supreme Court lawyers",https://www.financialexpress.com/india-news/adani-ambanis-birla-mittal-fund-rs-50-crore-health-insurance-for-supreme-court-lawyers/3853515/,2025-05-24T14:05:04+05:30,2025-05-24T08:35:04,0.5574
"‘ED crossing all limits, violating federal structure of Constitution’: Supreme Court stays probe into TASMAC scam",https://www.financialexpress.com/india-news/ed-crossing-all-limits-violating-federal-structure-of-constitution-supreme-court-stays-probe-into-tasmac-scam/3853495/,2025-05-22T12:52:59+05:30,2025-05-22T07:22:59,-0.5574
Ball in govt’s court as SC ends AGR waiver hopes for telcos,https://www.financialexpress.com/opinion/ball-in-govts-court-as-sc-ends-agr-waiver-hopes-for-telcos/3850544/,2025-05-20T03:00:00+05:30,2025-05-19T21:30:00,0.4215
SC rejects Vodafone Idea’s AGR relief plea,https://www.financialexpress.com/business/industry-sc-rejects-vodafone-ideas-agr-relief-plea-3850443/,2025-05-19T21:08:32+05:30,2025-05-19T15:38:32,-0.0258
‘India is not a dharamshala’: Supreme Court rejects plea of Sri Lankan national seeking refuge,https://www.financialexpress.com/india-news/india-is-not-a-dharamshala-supreme-court-rejects-plea-of-sri-lankan-national-seeking-refuge/3850300/,2025-05-19T19:30:33+05:30,2025-05-19T14:00:33,-0.7289
SC slams Delhi govt for 55% unfilled job positions in pollution control committee: ‘We cannot tolerate this’,https://www.financialexpress.com/india-news/sc-slams-delhi-govt-for-55-unfilled-job-positions-in-pollution-control-committee-we-cannot-tolerate-this/3850117/,2025-05-19T17:24:21+05:30,2025-05-19T11:54:21,0.0
"‘Crocodile tears’: Supreme Court rejects BJP minister’s apology, orders SIT probe over ‘crass’ remarks on Colonel Sofiya Qureshi",https://www.financialexpress.com/india-news/crocodile-tears-supreme-court-rejects-bjp-ministers-apology-orders-sit-probe-over-crass-remarks-on-colonel-sofiya-qureshi/3850026/,2025-05-19T15:54:05+05:30,2025-05-19T10:24:05,0.1531
"SC dismisses Vodafone Idea, Bharti Airtel petition on AGR relief; calls it  ‘shocking’, deems it ‘misconceived’",https://www.financialexpress.com/business/industry-supreme-court-dismisses-vodafone-idea-bharti-airtel-petition-on-agr-relief-3849951/,2025-05-19T13:44:11+05:30,2025-05-19T08:14:11,0.4767
"Vodafone Idea shares in focus; seeks SC relief on Rs 45,457 crore AGR dues",https://www.financialexpress.com/market/vodafone-ideas-shares-slide-4-heres-why-3849621/,2025-05-19T09:38:09+05:30,2025-05-19T04:08:09,0.6486
Justice Bela M Trivedi’s farewell snub sparks SC row as CJI Gavai slams SCBA – Her journey and landmark judgments,https://www.financialexpress.com/india-news/justice-bela-m-trivedis-farewell-snub-sparks-sc-row-as-cji-gavai-slams-scba-her-journey-and-landmark-judgments/3848153/,2025-05-17T14:17:02+05:30,2025-05-17T08:47:02,0.2263
"Vodafone Idea files fresh plea with SC on AGR dues, seeks over Rs 30,000 crore relief: Report",https://www.financialexpress.com/business/industry-vodafone-idea-files-fresh-plea-with-sc-on-agr-dues-seeks-over-rs-30000-crore-relief-report-3845733/,2025-05-15T15:57:55+05:30,2025-05-15T10:27:55,0.6597
Justice B R Gavai takes oath as 52nd Chief Justice of India,https://www.financialexpress.com/india-news/justice-b-r-gavai-takes-oath-as-52nd-chief-justice-of-india/3844083/,2025-05-14T10:41:32+05:30,2025-05-14T05:11:32,0.7783
"‘Batted with Constitution, bowled with justice in eyes’: Lawyers bid farewell as CJI Sanjiv Khanna hangs up robes",https://www.financialexpress.com/india-news/batted-with-constitution-bowled-with-justice-in-eyes-lawyers-bid-farewell-as-cji-sanjiv-khanna-hangs-up-robes/3843548/,2025-05-13T20:50:21+05:30,2025-05-13T15:20:21,0.5267
NewsPoint: Justice from the bottom of the pyramid,https://www.financialexpress.com/india-news/br-gavai-justice-from-the-bottom-of-the-pyramid/3839131/,2025-05-10T12:14:44+05:30,2025-05-10T06:44:44,0.5267
When SC praised Col Sofiya Qureshi while granting Permanent Commission to women officers in Indian Army,https://www.financialexpress.com/india-news/when-sc-praised-col-sofiya-qureshi-while-granting-permanent-commission-to-women-officers-in-indian-army/3837142/,2025-05-08T13:27:32+05:30,2025-05-08T07:57:32,0.6705
"PNB-led CoC to meet on JSW-Bhushan case in 2-3 days, says MD & CEO Ashok Chandra",https://www.financialexpress.com/business/banking-finance-pnb-led-coc-to-meet-on-jsw-bhushan-case-in-2-3-days-says-md-amp-ceo-ashok-chandra-3836899/,2025-05-08T10:26:58+05:30,2025-05-08T04:56:58,0.0
Justice Yashwant Varma Case: SC in-house panel indicts him in cash recovery — What’s next?,https://www.financialexpress.com/india-news/justice-yashwant-varma-case-sc-in-house-panel-indicts-him-in-cash-recovery-whats-next/3836041/,2025-05-07T15:49:02+05:30,2025-05-07T10:19:02,0.5267
Rethinking the state’s role,https://www.financialexpress.com/opinion/rethinking-the-states-role/3834942/,2025-05-07T13:57:18+05:30,2025-05-07T08:27:18,0.0
Lenders to file review petition against SC order on BPSL,https://www.financialexpress.com/business/banking-finance/lenders-to-file-review-petition-against-sc-order-on-bpsl/3834899/,2025-05-07T04:42:10+05:30,2025-05-06T23:12:10,0.0
From properties to investments: Supreme Court makes its judges’ assets public,https://www.financialexpress.com/india-news/from-properties-to-investments-supreme-court-makes-its-judges-assets-public/3834077/,2025-05-06T08:55:53+05:30,2025-05-06T03:25:53,0.6486
"SC compares Bitcoin trading in India to ‘refined Hawala’, slams Centre for delay in setting crypto rules",https://www.financialexpress.com/market/cryptocurrency/sc-compares-bitcoin-trading-in-india-to-refined-hawala-slams-centre-for-delay-in-setting-crypto-rules/3834044/,2025-05-06T08:17:36+05:30,2025-05-06T02:47:36,-0.3182
Govt reviewing order on Bhushan Power by SC,https://www.financialexpress.com/business/industry-govt-reviewing-order-on-bhushan-power-by-sc-3833694/,2025-05-05T23:42:51+05:30,2025-05-05T18:12:51,0.0
Petitions challenging Waqf Act to be heard by bench led by next CJI BR Gavai on May 15,https://www.financialexpress.com/india-news/petitions-challenging-waqf-act-to-be-heard-by-bench-led-by-next-cji-br-gavai-on-may-15/3833532/,2025-05-05T19:00:32+05:30,2025-05-05T13:30:32,0.1531
Supreme Court seeks Centre’s reply on plea against blocking of YouTube channel ‘4 PM’,https://www.financialexpress.com/india-news/supreme-court-seeks-centres-reply-on-plea-against-blocking-of-youtube-channel-4-pm/3833213/,2025-05-05T14:41:44+05:30,2025-05-05T09:11:44,0.25
Incoming CJI BR Gavai to hear Waqf Law case on May 15,https://www.financialexpress.com/india-news/sc-to-hear-petitions-challenging-waqf-amendment-act-today-key-details/3833022/,2025-05-05T14:22:46+05:30,2025-05-05T08:52:46,0.0
Another blow to IBC: JSW-BPSL verdict may deter future resolution applicants,https://www.financialexpress.com/opinion/another-blow-to-ibc-jsw-bpsl-verdict-may-deter-future-resolution-applicants/3832469/,2025-05-05T03:00:00+05:30,2025-05-04T21:30:00,0.1531
EXPLAINER | Arbitral awards may not be the last word on business disputes,https://www.financialexpress.com/business/explainer-arbitral-awards-may-not-be-the-last-word-on-business-disputes-3832225/,2025-05-04T21:17:19+05:30,2025-05-04T15:47:19,0.2263
Judges must come clean about assets,https://www.financialexpress.com/opinion/judges-must-come-clean-about-assets/3828218/,2025-05-01T05:14:08+05:30,2025-04-30T23:44:08,0.5267
‘Is India still carrying the tag of poor?’ Supreme Court asks; here’s the truth,https://www.financialexpress.com/policy/economy-is-india-still-carrying-the-tag-of-poor-supreme-court-asks-heres-the-truth-3828132/,2025-04-30T19:32:59+05:30,2025-04-30T14:02:59,0.7096
"Justice BR Gavai appointed next Chief Justice, set to take oath on May 14",https://www.financialexpress.com/india-news/justice-br-gavai-appointed-next-chief-justice-set-to-take-oath-on-may-14/3826788/,2025-04-29T20:27:21+05:30,2025-04-29T14:57:21,0.7783
"SC denies bail, suspension of life sentence to convicted ex-IPS officer Sanjiv Bhatt",https://www.financialexpress.com/india-news/sc-denies-bail-suspension-of-life-sentence-to-convicted-ex-ips-officer-sanjiv-bhatt/3826261/,2025-04-29T13:47:34+05:30,2025-04-29T08:17:34,-0.3612
"SC flags serious concern over obscene content on OTT, social media; issues notice to Centre, streaming platforms",https://www.financialexpress.com/india-news/sc-flags-serious-concern-over-obscene-content-on-ott-social-media-issues-notice-to-centre-streaming-platforms/3825209/,2025-04-28T15:18:16+05:30,2025-04-28T09:48:16,-0.6249
Funds seizure from Adani’s Mundra Port heroin case routed to LeT: NIA Reveals to Supreme Court,https://www.financialexpress.com/india-news/funds-seizure-from-adanis-mundra-port-heroin-case-routed-to-let-nia-reveals-to-supreme-court/3821581/,2025-04-25T09:54:53+05:30,2025-04-25T04:24:53,0.1027
‘We’re already facing allegations of intrusion into Parliamentary functions’: SC while hearing plea on West Bengal violence,https://www.financialexpress.com/india-news/were-already-facing-allegations-of-intrusion-into-parliamentary-functions-sc-while-hearing-plea-on-west-bengal-violence/3817080/,2025-04-21T20:01:46+05:30,2025-04-21T14:31:46,-0.6249
Troubling questions arise after Supreme Court’s foray into executive timelines,https://www.financialexpress.com/opinion/troubling-questions-arise-after-supreme-courts-foray-into-executive-timelines/3816165/,2025-04-21T03:00:00+05:30,2025-04-20T21:30:00,0.0258
"Justice Yashwant Varma case: Police, fire department officials confirm cash presence as panel probes video deletion",https://www.financialexpress.com/india-news/justice-yashwant-varma-casepolice-fire-department-officials-confirm-cash-presence-as-panel-probes-video-deletion/3815599/,2025-04-20T11:28:23+05:30,2025-04-20T05:58:23,0.25
MAGA suffers meltdown over Supreme Court blocking Trump deportation efforts,https://www.financialexpress.com/world-news/maga-suffers-meltdown-over-supreme-court-blocking-trump-deportation-efforts/3815543/,2025-04-20T10:22:16+05:30,2025-04-20T04:52:16,-0.2732
‘BJP has nothing to do…’ Nadda after party MP Nishikant Dubey says SC ‘responsible for religious wars’,https://www.financialexpress.com/india-news/bjp-has-nothing-to-do-nadda-after-party-mp-nishikant-dubey-says-sc-responsible-for-religious-wars/3815456/,2025-04-20T08:33:46+05:30,2025-04-20T03:03:46,0.4019
US Supreme Court halts Trump’s deportations under Alien Enemies Act,https://www.financialexpress.com/world-news/us-supreme-court-halts-trumps-deportations-under-alien-enemies-act/3814828/,2025-04-19T13:29:17+05:30,2025-04-19T07:59:17,0.1027
