,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'business-insider', 'name': 'Business Insider'}","Reed Alexander,Emmalyse Brownstein",JPMorgan renamed its DEI programs amid pressure from Washington. Read the full memo.,"JPM will replace ""equity"" with ""opportunity"" in rebranding its DEI programs. An exec says ""e"" meant ""equal opportunity to us, not equal outcomes.""",https://www.businessinsider.com/jpmorgan-renames-dei-programs-diversity-hiring-trump-memo-piepszak-2025-3,https://i.insider.com/6737046e192f52589858bc6c?width=1200&format=jpeg,2025-03-21T15:32:07Z,"JPMorgan will replace ""equity"" with ""opportunity"" in rebranding its DEI programs.Rebecca Noble/Getty Images; Tasos Katopodis/Getty Images for The Atlantic
<ul><li>JPMorgan is renaming its diversity,… [+7152 chars]"
1,"{'id': None, 'name': 'Quartz India'}",William Gavin,"Tesla's brand damage is unlike anything the auto industry has seen before, JPMorgan says","Tesla (TSLA) has taken major reputational damage over the last few months, on a scale never seen before in the automotive industry, according to JPMorgan (JPM) analysts.Read more...",https://qz.com/elon-musk-tesla-brand-damage-jpmorgan-trump-doge-1851769457,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/6a2e3d4ab8d368a6ac57fff1cc2f4960.jpg",2025-03-12T19:10:00Z,"In This Story
Tesla (TSLA+7.77%
) has taken major reputational damage over the last few months, on a scale never seen before in the automotive industry, according to JPMorgan (JPM+0.34%
) analysts… [+3671 chars]"
2,"{'id': None, 'name': 'Quartz India'}",Ben Kesslen,"The CFPB dropped its Zelle fraud lawsuit against JPMorgan Chase, Bank of America, and Wells Fargo","The Consumer Financial Protection Bureau (CFPB) dropped its suit against JPMorgan Chase (JPM), Bank of America (BAC), and Wells Fargo (WFC) on Tuesday over their handling of fraud on the peer-to-peer payments network Zelle.Read more...",https://qz.com/cfpb-drops-zelle-lawsuit-jpmorgan-bofa-wells-fargo-1851767665,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/951a8bedc60006bbb4eae293338956f5.jpg",2025-03-04T18:52:07Z,"In This Story
The Consumer Financial Protection Bureau (CFPB) dropped its suit against JPMorgan Chase (JPM-2.94%
), Bank of America (BAC-4.54%
), and Wells Fargo (WFC-3.20%
) on Tuesday over thei… [+1900 chars]"
3,"{'id': None, 'name': 'Quartz India'}",Ben Kesslen,JPMorgan CEO Jamie Dimon is sorry for cursing. But return-to-office is still on,JPMorgan Chase (JPM) CEO Jamie Dimon said he regretted cursing during a recent company town hall but stands by the importance of the company’s new return-to-office policy.Read more...,https://qz.com/jpmorgan-chase-jamie-dimon-hybrid-remote-work-rto-1851766285,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/d0d2687ea8f3e9d1c9e5c4825e101867.jpg",2025-02-25T13:21:00Z,"In This Story
JPMorgan Chase (JPM-0.96%
)CEO Jamie Dimon said he regretted cursing during a recent company town hall but stands by the importance of the companys new return-to-office policy.
Dimon… [+1751 chars]"
4,"{'id': 'business-insider', 'name': 'Business Insider'}","Emmalyse Brownstein,Bianca Chan",Leaked memo: Inside JPMorgan's RTO plan for its largest office,"JPMorgan's biggest office campus has received their back-to-office instructions. Here's what 12,000 mostly tech workers are going back to.",https://www.businessinsider.com/jpmorgan-rto-leaked-memo-polaris-employees-columbus-parking-dining-2025-3,https://i.insider.com/67d996d169253ccddf9990d6?width=1200&format=jpeg,2025-03-18T16:36:32Z,"Aerial view of JPMorgan's Polaris campus in Columbus, Ohio.JPMorgan Chase
<ul><li>JPMorgan Chase notified workers based in its Polaris campus to prepare to return full-time April 21.</li><li>The mem… [+4878 chars]"
5,"{'id': None, 'name': 'Forbes'}","Dividend Channel, Contributor, 
 Dividend Channel, Contributor
 https://www.forbes.com/sites/dividendchannel/",JPMorgan Chase Is Oversold,"on Friday, shares of JPM entered into oversold territory, changing hands as low as $240.55 per share",https://www.forbes.com/sites/dividendchannel/2025/03/07/jpmorgan-chase-is-oversold/,https://imageio.forbes.com/specials-images/imageserve/67cb395da4582cb613193b49/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-03-07T18:27:29Z,"The DividendRank formula at Dividend Channel ranks a coverage universe of thousands of dividend stocks, according to a proprietary formula designed to identify those stocks that combine two important… [+1880 chars]"
6,"{'id': None, 'name': 'Biztoc.com'}",tipranks.com,"New CFPB Leader Drops Fraud Lawsuit Against Zelle, BAC, JPM & WFC","The Consumer Financial Protection Bureau (CFPB) revoked its lawsuit against Zelle operator Early Warning Services and the three major banks that use the peer-to-peer payments network. The regulator dismissed the lawsuit with prejudice, freeing Early Warning S…",https://biztoc.com/x/4bac02c9608b3061,https://biztoc.com/cdn/4bac02c9608b3061_s.webp,2025-03-06T14:34:28Z,The Consumer Financial Protection Bureau (CFPB) revoked its lawsuit against Zelle operator Early Warning Services and the three major banks that use the peer-to-peer payments network. The regulator d… [+149 chars]
7,"{'id': None, 'name': 'Quartz India'}",William Gavin,Is a recession coming? Here's what Trump and his people are saying,"As Wall Street grapples with the increasing likelihood of a U.S. recession, the Trump administration has gone to bat defending President Donald Trump’s stock market-slamming trade policies.Read more...",https://qz.com/recession-trump-officials-allies-respond-trade-tariffs-1851770349,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/13c2239a86701f22929071f80fd825ba.jpg",2025-03-17T15:27:00Z,"As Wall Street grapples with the increasing likelihood of a U.S. recession, the Trump administration has gone to bat defending President Donald Trumps stock market-slamming trade policies.
JPMorgan … [+1259 chars]"
8,"{'id': None, 'name': 'Quartz India'}",Ben Kesslen,Rival airlines are thrilled Southwest is ending its free checked bag policy,"Southwest Airlines announced Tuesday it was ending its free checked bag policy, incensing customers and thrilling its rivals.Read more...",https://qz.com/rival-airlines-southwest-ending-its-free-checked-bags-1851769372,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/9b21977ee22e0fcd8b0936ea46346151.jpg",2025-03-12T14:40:00Z,"In This Story
Southwest Airlines announced Tuesday it was ending its free checked bag policy, incensing customers and thrilling its rivals.
The Dallas-based airline said the changes would drive rev… [+1690 chars]"
9,"{'id': None, 'name': 'Ritholtz.com'}",Barry Ritholtz,10 Friday AM Reads,My end-of-week morning train WFH reads: • Hotdogs and motorways: The ripples created by Denmark’s Ozempic and Wegovy boom: American demand for weight-loss drugs is supercharging Denmark’s economy and transforming a small Danish community into an unlikely boom…,https://ritholtz.com/2025/02/10-friday-am-reads-440/,https://ritholtz.com/wp-content/uploads/2026/12/momentumunwind.png,2025-02-28T11:30:29Z,Hotdogs and motorways: The ripples created by Denmark’s Ozempic and Wegovy boom: American demand for weight-loss drugs is supercharging Denmarks economy and transforming a small Danish community into… [+3628 chars]
