headline,link,date_str,parsed_date_iso,sentiment_score
"Nifty IT Index cracks 2%, Infosys slides 3%: 3 big concerns at this hour",https://www.financialexpress.com/market/why-are-tech-stocks-falling-today-nifty-it-index-down-over-1-3842830/,2025-05-13T12:22:23+05:30,2025-05-13T06:52:23,0.4019
May 2025 dividend watchlist: 5 stocks to monitor,https://www.financialexpress.com/market/stock-insights/may-2025-dividend-watchlist-5-stocks-to-monitor/3829844/,2025-05-02T10:01:30+05:30,2025-05-02T04:31:30,0.0
How AI can help in better financial planning,https://www.financialexpress.com/business/digital-transformation-how-ai-can-help-in-better-financial-planning-3768915/,2025-03-06T08:57:39+05:30,2025-03-06T03:27:39,0.6808
Oracle and Microsoft in talks to take over TikTok’s global operations,https://www.financialexpress.com/life/technology-oracle-and-microsoft-in-talks-to-take-over-tiktoks-global-operations-3726329/,2025-01-26T08:20:02+05:30,2025-01-26T02:50:02,0.0
RK Foodland optimises operations and boosts productivity with Oracle NetSuite,https://www.financialexpress.com/business/industry-rk-foodland-optimises-operations-and-boosts-productivity-with-oracle-netsuite-3570678/,2024-08-07T15:42:39+05:30,2024-08-07T10:12:39,0.5994
From Investing for growth to leveraging Gen AI to meet ESG goals,https://www.financialexpress.com/business/industry-from-investing-for-growth-to-leveraging-gen-ai-to-meet-esg-goals-3554007/,2024-07-15T14:43:25+05:30,2024-07-15T09:13:25,0.3818
FE CXO Leadership Dialogue on tapping the power & promise of Generative AI,https://www.financialexpress.com/business/industry-fe-cxo-leadership-dialogue-on-tapping-the-power-amp-promise-of-generative-ai-3553997/,2024-07-15T16:14:13+05:30,2024-07-15T10:44:13,0.3182
Oracle to double India AI investments,https://www.financialexpress.com/business/digital-transformation-oracle-to-double-india-ai-investments-3482997/,2024-05-10T08:32:36+05:30,2024-05-10T03:02:36,0.0
"Oracle adds generative AI features to finance, supply chain software",https://www.financialexpress.com/business/digital-transformation-oracle-adds-generative-ai-features-to-finance-supply-chain-software-3425107/,2024-03-14T14:30:00+05:30,2024-03-14T09:00:00,0.0
‘There is growing integration of analytics into business processes’,https://www.financialexpress.com/business/digital-transformation-there-is-growing-integration-of-analytics-into-business-processes-3424795/,2024-03-14T11:15:00+05:30,2024-03-14T05:45:00,0.1779
Giving wings to businesses,https://www.financialexpress.com/business/digital-transformation-giving-wings-to-businesses-3397988/,2024-02-19T09:00:00+05:30,2024-02-19T03:30:00,0.34
Oracle Agile Leaders Summit: Leveraging innovation for finance transformation,https://www.financialexpress.com/business/industry-oracle-agile-leaders-summit-leveraging-innovation-for-finance-transformation-3395472/,2024-02-15T16:49:28+05:30,2024-02-15T11:19:28,0.3818
"Oracle brings the sovereign cloud to EU: What is it, how it will impact users, other details",https://www.financialexpress.com/life/technology-oracle-brings-the-sovereign-cloud-to-eu-what-is-it-how-it-will-impact-users-other-details-3134276/,2023-06-20T17:25:51+05:30,2023-06-20T11:55:51,0.0
"On cloud nine, with smart business",https://www.financialexpress.com/life/technology-on-cloud-nine-with-smart-business-3048942/,2023-04-17T00:05:00+05:30,2023-04-16T18:35:00,0.4019
Oracle Cloud powers strong customer growth,https://www.financialexpress.com/business/industry-oracle-cloud-powers-strong-customer-growth-3014806/,2023-03-20T00:05:00+05:30,2023-03-19T18:35:00,0.7096
myTVS to utilise Oracle Fusion Cloud Applications to unify operations and improve business efficiency,https://www.financialexpress.com/business/express-mobility-mytvs-to-utilise-oracle-fusion-cloud-applications-to-unify-operations-and-improve-business-efficiency-3011791/,2023-03-16T14:30:25+05:30,2023-03-16T09:00:25,0.6597
"Oracle launches Alloy, its new cloud solution option for enterprises",https://www.financialexpress.com/life/technology-oracle-launches-alloy-its-new-cloud-solution-option-for-enterprises-2721062/,2022-10-19T14:18:03+05:30,2022-10-19T08:48:03,0.3182
"We see tremendous opportunity for cloud in India, the market is growing fast, says Oracle India chief",https://www.financialexpress.com/business/industry-we-see-tremendous-opportunity-for-cloud-in-india-the-market-is-growing-fast-says-oracle-india-chief-2623960/,2022-08-10T04:30:00+05:30,2022-08-09T23:00:00,0.5423
Getting better: Oracle Cloud gets more firepower,https://www.financialexpress.com/life/technology-getting-better-oracle-cloud-gets-more-firepower-2468732/,2022-03-23T08:40:47+05:30,2022-03-23T03:10:47,0.4404
Employee database: Tech to help HR teams protect high-risk data,https://www.financialexpress.com/life/technology-employee-database-tech-to-help-hr-teams-protect-high-risk-data-2449300/,2022-03-03T01:15:00+05:30,2022-03-02T19:45:00,0.6486
Not just a telecom company: Oracle Cloud powers Airtel’s digital journey,https://www.financialexpress.com/business/industry-not-just-a-telecom-company-oracle-cloud-powers-airtels-digital-journey-2445170/,2022-02-28T01:30:00+05:30,2022-02-27T20:00:00,0.0
"Cloud is fast emerging as the torchbearer of healthcare industry: Garrett Ilg, President, Japan & Asia Pacific, Oracle",https://www.financialexpress.com/business/industry-cloud-is-fast-emerging-as-the-torchbearer-of-healthcare-industry-garrett-ilg-president-japan-asia-pacific-oracle-2244412/,2021-05-03T01:15:22+05:30,2021-05-02T19:45:22,0.0
